,soil_moisture,soil_temperature,env_humidity,env_temperature,precipitations_mm,et0_fao,irrigation_status
108,30.41,25.5,62.5,26.0,20.3,0.149722222222222,2
109,30.33,25.5,63.5,25.4,20.3,0.149722222222222,2
110,30.33,25.5,65.5,24.8,20.3,0.149722222222222,2
111,30.33,25.6,68.5,24.3,20.3,0.149722222222222,2
112,30.33,25.6,69.5,23.8,20.3,0.149722222222222,2
113,30.33,25.6,72.0,23.4,19.9,0.153472222222222,2
114,30.33,25.7,75.0,22.9,19.9,0.153472222222222,2
115,30.33,25.7,77.5,22.7,19.9,0.153472222222222,2
116,30.33,25.7,75.5,22.9,19.9,0.153472222222222,2
117,30.33,25.7,76.0,23.0,19.9,0.153472222222222,2
118,30.26,25.7,72.0,23.5,19.9,0.153472222222222,2
119,30.26,25.6,72.0,23.7,19.1,0.156527777777778,2
120,30.26,25.6,73.5,23.6,19.1,0.156527777777778,2
121,30.26,25.6,73.0,23.5,19.1,0.156527777777778,2
122,30.26,25.6,73.0,23.5,19.1,0.156527777777778,2
123,30.26,25.6,74.0,23.6,19.1,0.156527777777778,2
124,30.26,25.6,74.5,23.5,19.1,0.156527777777778,2
125,30.14,25.6,75.5,23.6,18.8,0.160555555555556,2
126,30.07,25.6,76.0,23.5,18.8,0.160555555555556,2
127,30.14,25.6,76.5,23.4,18.8,0.160555555555556,2
128,30.14,25.5,76.0,23.7,18.8,0.160555555555556,2
129,30.14,25.5,75.5,23.8,18.8,0.160555555555556,2
130,30.14,25.5,76.5,23.9,18.8,0.160555555555556,2
131,30.14,25.5,75.0,23.5,17.8,0.165277777777778,2
132,30.14,25.5,76.5,23.5,17.8,0.165277777777778,2
133,30.14,25.5,76.5,23.0,17.8,0.165277777777778,2
134,30.14,25.5,78.5,22.1,17.8,0.165277777777778,2
135,30.07,25.5,80.5,21.6,17.8,0.165277777777778,2
136,30.07,25.5,82.0,21.5,17.8,0.165277777777778,2
137,30.14,25.5,83.0,21.0,16.0,0.170972222222222,2
138,30.26,25.5,85.0,20.7,16.0,0.170972222222222,2
139,30.26,25.5,86.0,20.6,16.0,0.170972222222222,2
140,30.26,25.5,88.0,20.3,16.0,0.170972222222222,2
141,30.14,25.5,89.0,19.8,16.0,0.170972222222222,2
142,30.26,25.5,90.5,19.4,16.0,0.170972222222222,2
143,30.26,25.4,90.5,19.4,12.1,0.175694444444444,2
144,30.33,25.4,91.5,19.4,12.1,0.175694444444444,2
145,30.33,25.4,92.0,19.5,12.1,0.175694444444444,2
146,30.41,25.3,92.0,19.9,12.1,0.175694444444444,2
147,30.53,25.3,91.5,20.3,12.1,0.175694444444444,2
148,30.8,25.2,90.5,20.3,12.1,0.175694444444444,2
149,31.0,25.2,90.0,20.3,11.7,0.178472222222222,2
150,31.13,25.1,90.5,19.6,11.7,0.178472222222222,2
151,31.41,25.1,90.5,19.3,11.7,0.178472222222222,2
152,31.96,25.1,90.5,19.0,11.7,0.178472222222222,2
153,33.02,25.0,90.5,19.0,11.7,0.178472222222222,2
154,33.8,25.0,90.0,19.1,11.7,0.178472222222222,2
155,34.31,24.9,90.0,19.0,9.8,0.180972222222222,2
156,34.75,24.9,91.0,18.9,9.8,0.180972222222222,2
157,35.05,24.9,91.5,19.2,9.8,0.180972222222222,2
158,35.34,24.8,90.5,19.6,9.8,0.180972222222222,2
159,35.5,24.8,90.0,19.9,9.8,0.180972222222222,2
160,35.58,24.8,90.0,19.8,9.8,0.180972222222222,2
161,35.58,24.7,90.5,19.6,9.8,0.1825,2
162,35.58,24.7,91.0,19.5,9.8,0.1825,2
163,35.65,24.7,91.0,19.3,9.8,0.1825,2
164,35.65,24.6,91.0,19.3,9.8,0.1825,2
165,35.65,24.6,91.0,19.3,9.8,0.1825,2
166,35.73,24.6,91.5,19.3,9.8,0.1825,2
167,35.73,24.6,92.0,19.2,5.8,0.183472222222222,2
168,35.73,24.5,92.5,19.1,5.8,0.183472222222222,2
169,35.73,24.5,92.5,19.1,5.8,0.183472222222222,2
170,35.73,24.5,93.0,19.1,5.8,0.183472222222222,2
171,35.65,24.5,93.0,18.9,5.8,0.183472222222222,2
172,35.65,24.4,93.5,18.7,5.8,0.183472222222222,2
173,35.65,24.4,93.5,18.7,5.6,0.184027777777778,2
174,35.65,24.4,94.0,18.8,5.6,0.184027777777778,2
175,35.65,24.3,94.5,18.7,5.6,0.184027777777778,2
176,35.58,24.3,94.5,18.7,5.6,0.184027777777778,2
177,35.58,24.3,95.0,18.7,5.6,0.184027777777778,2
178,35.58,24.2,95.0,18.7,5.6,0.184027777777778,2
179,35.5,24.2,95.0,18.7,5.3,0.184166666666667,2
180,35.5,24.1,95.0,18.7,5.3,0.184166666666667,2
181,35.5,24.1,95.0,18.9,5.3,0.184166666666667,2
182,35.5,24.1,95.0,18.8,5.3,0.184166666666667,2
183,35.43,24.0,95.0,18.7,5.3,0.184166666666667,2
184,35.43,24.0,95.0,18.6,5.3,0.184166666666667,2
185,35.43,24.0,95.5,18.5,5.3,0.184166666666667,2
